Operating System,Percentage
Raspberry Pi OS (32-bit),41.24%
Raspberry Pi OS (other),22.84%
Ubuntu,16.07%
RetroPie,4.83%
Recalbox,4.31%
Bootloader,4.25%
LibreELEC,2.72%
Manjaro ARM Linux,2.03%
RISC OS Pi,0.66%
OctoPi,0.47%
Homebridge,0.25%
info-beamer digital signage,0.20%
ALT,0.07%
TLXOS,0.06%
Misc utility images,0.00%
