Image,Percentage
Raspberry Pi OS (32-bit),47.97%
Raspberry Pi OS Lite (32-bit),14.79%
Raspberry Pi OS Full (32-bit),9.42%
Ubuntu Desktop 20.10 (RPi 4/400),5.64%
RetroPie 4.7.1 (RPI 4/400),2.77%
Raspberry Pi 4 EEPROM boot recovery,2.36%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.32%
Recalbox 7.1.1-Reloaded (Pi 3),1.86%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.78%
LibreELEC (RPi4),1.65%
Ubuntu Server 20.10 (RPi 3/4/400),1.49%
RetroPie 4.7.1 (RPI 2/3),1.47%
LibreELEC (RPi2/RPi3),1.34%
RISC OS (5.28),1.06%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.93%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.73%
Ubuntu Core 18 (RPi 3/4),0.59%
RetroPie 4.7.1 (RPI 1/Zero),0.47%
LibreELEC (RPi0/RPi1),0.39%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.36%
Ubuntu Core 18 (RPi 2/3/4),0.29%
Recalbox 7.1.1-Reloaded (Pi 2),0.18%
TLXOS RPi 4.9.3 (latest),0.08%
TLXOS RPi IoT 4.8.1 (LTS),0.04%
TLXOS RPi 4.8.1 (LTS),0.01%
