Operating System,Percentage
Raspberry Pi OS (32-bit),46.96%
Raspberry Pi OS (other),24.69%
Ubuntu,12.22%
RetroPie,4.98%
Recalbox,4.49%
LibreELEC,3.28%
Misc utility images,2.27%
RISC OS Pi,0.98%
TLXOS,0.12%
