Image,Percentage
Raspberry Pi OS (32-bit),39.51%
Raspberry Pi OS Lite (32-bit),14.10%
Raspberry Pi OS Full (32-bit),8.87%
Ubuntu Desktop 21.04 (RPi 4/400),7.32%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.33%
RetroPie 4.7.1 (RPI 4/400),2.55%
Ubuntu Server 21.04 (RPi 3/4/400),2.51%
SD Card Boot,2.28%
Recalbox 7.2-Reloaded - Pi3,2.21%
Recalbox 7.2-Reloaded - Pi4 / Pi400,2.06%
RetroPie 4.7.1 (RPI 2/3),1.94%
USB Boot,1.70%
LibreELEC (RPi2/RPi3),1.57%
LibreELEC (RPi4),1.46%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.30%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),1.07%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.90%
RetroPie 4.7.1 (RPI 1/Zero),0.78%
RISC OS (5.28),0.74%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.59%
Ubuntu Core 18 (RPi 3/4),0.52%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.42%
OctoPi,0.42%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.40%
Ubuntu Core 18 (RPi 2/3/4),0.32%
LibreELEC (RPi0/RPi1),0.29%
Recalbox 7.2-Reloaded - Pi2,0.20%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.19%
Network Boot,0.17%
info-beamer OS,0.17%
ALT Education 9.1 (Raspberry Pi 4/3),0.04%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi 4.9.3 (latest),0.01%
info-beamer OS (testing),0.01%
OctoPi (mirror),0.01%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.01%
