Operating System,Percentage
Raspberry Pi OS (32-bit),46.50%
Raspberry Pi OS (other),25.62%
Ubuntu,12.81%
RetroPie,4.81%
Recalbox,3.86%
LibreELEC,3.00%
Misc utility images,2.39%
RISC OS Pi,0.89%
TLXOS,0.12%
