Image,Percentage
Raspberry Pi OS (32-bit),45.87%
Raspberry Pi OS Lite (32-bit),14.72%
Raspberry Pi OS Full (32-bit),9.93%
Ubuntu Desktop 20.10 (RPi 4/400),5.89%
RetroPie 4.7.1 (RPI 4/400),2.92%
Raspberry Pi 4 EEPROM boot recovery,2.64%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.56%
RetroPie 4.7.1 (RPI 2/3),1.91%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.87%
Ubuntu Server 20.10 (RPi 3/4/400),1.71%
Recalbox 7.1.1-Reloaded (Pi 3),1.65%
LibreELEC (RPi4),1.61%
LibreELEC (RPi2/RPi3),1.46%
RISC OS (5.28),0.98%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.92%
RetroPie 4.7.1 (RPI 1/Zero),0.77%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.71%
Ubuntu Core 18 (RPi 3/4),0.55%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.39%
Ubuntu Core 18 (RPi 2/3/4),0.33%
LibreELEC (RPi0/RPi1),0.29%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi IoT 4.8.1 (LTS),0.03%
TLXOS RPi 4.8.1 (LTS),0.02%
