Operating System,Percentage
Raspberry Pi OS (32-bit),42.04%
Raspberry Pi OS (other),22.38%
Ubuntu,17.10%
RetroPie,4.16%
Bootloader,4.14%
Recalbox,3.83%
LibreELEC,2.38%
Manjaro ARM Linux,1.67%
Homebridge,0.85%
RISC OS Pi,0.72%
OctoPi,0.38%
TLXOS,0.15%
info-beamer digital signage,0.14%
ALT,0.05%
