Image,Percentage
Raspberry Pi OS (32-bit),45.89%
Raspberry Pi OS Lite (32-bit),14.37%
Raspberry Pi OS Full (32-bit),10.27%
Ubuntu Desktop 20.10 (RPi 4/400),5.95%
RetroPie 4.7.1 (RPI 4/400),2.97%
Raspberry Pi 4 EEPROM boot recovery,2.40%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.31%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.15%
Recalbox 7.1.1-Reloaded (Pi 3),2.08%
RetroPie 4.7.1 (RPI 2/3),1.75%
LibreELEC (RPi4),1.71%
Ubuntu Server 20.10 (RPi 3/4/400),1.63%
LibreELEC (RPi2/RPi3),1.39%
RISC OS (5.28),1.02%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.90%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.59%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.48%
Ubuntu Core 18 (RPi 3/4),0.43%
LibreELEC (RPi0/RPi1),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.30%
Recalbox 7.1.1-Reloaded (Pi 2),0.26%
TLXOS RPi 4.9.2 (latest),0.09%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi 4.8.0 (LTS),0.01%
