Operating System,Percentage
Raspberry Pi OS (32-bit),44.83%
Raspberry Pi OS (other),24.16%
Ubuntu,12.32%
RetroPie,5.21%
Recalbox,3.62%
Bootloader,3.38%
LibreELEC,3.05%
Manjaro ARM Linux,2.12%
RISC OS Pi,0.70%
Misc utility images,0.33%
OctoPi,0.20%
TLXOS,0.09%
