Operating System,Percentage
Raspberry Pi OS (32-bit),47.20%
Raspberry Pi OS (other),24.34%
Ubuntu,11.68%
RetroPie,5.34%
Recalbox,4.53%
LibreELEC,3.25%
Misc utility images,2.55%
RISC OS Pi,1.01%
TLXOS,0.11%
