Operating System,Percentage
Raspberry Pi OS (32-bit),40.78%
Raspberry Pi OS (other),22.57%
Ubuntu,16.65%
RetroPie,4.72%
Recalbox,4.34%
Bootloader,4.29%
LibreELEC,2.69%
Manjaro ARM Linux,1.99%
RISC OS Pi,0.70%
OctoPi,0.45%
Homebridge,0.45%
info-beamer digital signage,0.20%
TLXOS,0.08%
ALT,0.06%
Home Assistant,0.03%
Misc utility images,0.00%
