Image,Percentage
Raspberry Pi OS (32-bit),42.61%
Raspberry Pi OS Lite (32-bit),14.51%
Raspberry Pi OS Full (32-bit),9.34%
Ubuntu Desktop 20.10 (RPi 4/400),6.08%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.32%
RetroPie 4.7.1 (RPI 4/400),2.74%
USB Boot,2.23%
Ubuntu Server 20.10 (RPi 3/4/400),2.04%
SD Card Boot,1.83%
RetroPie 4.7.1 (RPI 2/3),1.68%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.61%
Recalbox 7.1.1-Reloaded (Pi 3),1.56%
LibreELEC (RPi4),1.47%
LibreELEC (RPi2/RPi3),1.17%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.04%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.90%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.72%
RetroPie 4.7.1 (RPI 1/Zero),0.71%
RISC OS (5.28),0.64%
Ubuntu Core 18 (RPi 3/4),0.54%
OctoPi,0.46%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.44%
Ubuntu Core 18 (RPi 2/3/4),0.35%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.30%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.25%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.22%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.18%
Recalbox 7.1.1-Reloaded (Pi 2),0.16%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.15%
Network Boot,0.12%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.08%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.06%
info-beamer OS,0.06%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
TLXOS RPi 4.9.3 (latest),0.04%
Simply Linux 9.0 (Raspberry Pi 4),0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
info-beamer OS (testing),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
