Image,Percentage
Raspberry Pi OS (32-bit),38.46%
Raspberry Pi OS Lite (32-bit),14.16%
Raspberry Pi OS Full (32-bit),8.35%
Ubuntu Desktop 21.04 (RPi 4/400),6.16%
OctoPi,4.77%
Ubuntu Server 20.04.3 LTS (RPi 3/4/400),3.35%
USB Boot,3.15%
Ubuntu Server 21.04 (RPi 3/4/400),2.37%
RetroPie 4.7.1 (RPI 4/400),2.07%
SD Card Boot,1.97%
LibreELEC (RPi4),1.50%
RetroPie 4.7.1 (RPI 2/3),1.46%
Recalbox 7.2.2-Reloaded - Pi4 / Pi400,1.16%
Recalbox 7.2.2-Reloaded - Pi3,1.15%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.09%
Homebridge,0.89%
Ubuntu Server 20.04.3 LTS (RPi 2/3/4/400),0.84%
Manjaro ARM KDE Plasma 21.08 (RPi 3/3+/4/400),0.78%
OSMC (Pi 2/3),0.69%
Home Assistant OS 6.2 (RPi 4/400),0.69%
RISC OS (5.28),0.59%
OSMC (Pi 4 / Pi 400),0.53%
RetroPie 4.7.1 (RPI 1/Zero),0.52%
Manjaro ARM XFCE 21.08 (RPi 3/3+/4/400),0.52%
Ubuntu Core 20 (RPi 3/4),0.44%
Home Assistant OS 6.2 (RPi 3),0.36%
Ubuntu Core 20 (RPi 2/3/4),0.25%
Recalbox 7.2.2-Reloaded - Pi0 / Pi1 / GPiCase,0.24%
Manjaro ARM Gnome 21.08 (RPi 3/3+/4/400),0.22%
Manjaro ARM MATE 21.08 (RPi 3/3+/4/400),0.21%
Manjaro ARM Minimal 21.08 (RPi 3/3+/4/400),0.18%
OSMC (Pi 0/1),0.17%
Network Boot,0.15%
info-beamer OS,0.14%
Recalbox 7.2.2-Reloaded - Pi2,0.12%
OctoPi (mirror),0.11%
Manjaro ARM Sway 21.08 (RPi 3/3+/4/400),0.10%
TLXOS RPi 4.10.0 (latest),0.04%
ALT Workstation 9.2 (Raspberry Pi 4/3),0.03%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
info-beamer OS (testing),0.01%
ALT Education 9.2 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.8.2 (LTS),0.01%
TLXOS RPi IoT 4.8.2 (LTS),0.00%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.00%
