Image,Percentage
Raspberry Pi OS (32-bit),43.07%
Raspberry Pi OS Lite (32-bit),13.62%
Raspberry Pi OS Full (32-bit),9.52%
Ubuntu Desktop 20.10 (RPi 4/400),6.59%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.89%
RetroPie 4.7.1 (RPI 4/400),2.40%
Ubuntu Server 20.10 (RPi 3/4/400),2.17%
USB Boot,2.13%
SD Card Boot,1.77%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.50%
RetroPie 4.7.1 (RPI 2/3),1.46%
LibreELEC (RPi4),1.41%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.23%
LibreELEC (RPi2/RPi3),1.08%
Recalbox 7.1.1-Reloaded (Pi 3),1.07%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.96%
RISC OS (5.28),0.93%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.76%
RetroPie 4.7.1 (RPI 1/Zero),0.69%
Ubuntu Core 18 (RPi 3/4),0.66%
OctoPi,0.55%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.51%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.43%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.39%
Ubuntu Core 18 (RPi 2/3/4),0.32%
LibreELEC (RPi0/RPi1),0.29%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.26%
Network Boot,0.14%
Recalbox 7.1.1-Reloaded (Pi 2),0.13%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
