Image,Percentage
Raspberry Pi OS (32-bit),40.96%
Raspberry Pi OS Lite (32-bit),13.70%
Raspberry Pi OS Full (32-bit),8.97%
Ubuntu Desktop 21.04 (RPi 4/400),6.38%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.59%
RetroPie 4.7.1 (RPI 4/400),2.51%
Ubuntu Server 21.04 (RPi 3/4/400),2.22%
SD Card Boot,2.17%
USB Boot,1.98%
RetroPie 4.7.1 (RPI 2/3),1.61%
LibreELEC (RPi4),1.35%
LibreELEC (RPi2/RPi3),1.12%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.01%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.01%
Ubuntu Desktop 20.10 (RPi 4/400),0.94%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.91%
Recalbox 7.2-Reloaded - Pi3,0.91%
RISC OS (5.28),0.69%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,0.69%
Recalbox 7.2.1-Reloaded - Pi3,0.64%
RetroPie 4.7.1 (RPI 1/Zero),0.63%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.55%
Ubuntu Core 18 (RPi 3/4),0.55%
OctoPi,0.44%
Homebridge,0.37%
Ubuntu Server 20.10 (RPi 3/4/400),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.29%
Recalbox 7.1.1-Reloaded (Pi 3),0.27%
LibreELEC (RPi0/RPi1),0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.20%
info-beamer OS,0.18%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.17%
Network Boot,0.14%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.13%
Recalbox 7.2-Reloaded - Pi2,0.07%
Recalbox 7.2.1-Reloaded - Pi2,0.07%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.06%
TLXOS RPi 4.9.3 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
Recalbox 7.1.1-Reloaded (Pi 2),0.03%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.01%
TLXOS RPi 4.10.0 (latest),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
