Operating System,Percentage
Raspberry Pi OS (32-bit),47.08%
Raspberry Pi OS (other),24.55%
Ubuntu,11.72%
RetroPie,5.48%
Recalbox,4.54%
LibreELEC,3.26%
Misc utility images,2.31%
RISC OS Pi,0.95%
TLXOS,0.11%
