Operating System,Percentage
Raspberry Pi OS (32-bit),42.27%
Raspberry Pi OS (other),23.41%
Ubuntu,15.77%
Bootloader,4.41%
RetroPie,4.26%
Recalbox,3.51%
LibreELEC,2.41%
Manjaro ARM Linux,1.81%
Homebridge,0.75%
RISC OS Pi,0.64%
OctoPi,0.46%
info-beamer digital signage,0.19%
ALT,0.08%
TLXOS,0.04%
