Image,Percentage
Raspberry Pi OS (32-bit),44.84%
Raspberry Pi OS Lite (32-bit),14.35%
Raspberry Pi OS Full (32-bit),9.98%
Ubuntu Desktop 20.10 (RPi 4/400),5.70%
RetroPie 4.7.1 (RPI 4/400),2.77%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.57%
RetroPie 4.7.1 (RPI 2/3),1.90%
Ubuntu Server 20.10 (RPi 3/4/400),1.70%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.63%
Recalbox 7.1.1-Reloaded (Pi 3),1.60%
LibreELEC (RPi4),1.56%
LibreELEC (RPi2/RPi3),1.35%
USB Boot,1.14%
SD Card Boot,1.11%
Raspberry Pi 4 EEPROM boot recovery,1.04%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.94%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.80%
RISC OS (5.28),0.79%
RetroPie 4.7.1 (RPI 1/Zero),0.74%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.71%
Ubuntu Core 18 (RPi 3/4),0.54%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.39%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.36%
Ubuntu Core 18 (RPi 2/3/4),0.30%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.28%
LibreELEC (RPi0/RPi1),0.27%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.15%
Network Boot,0.10%
OctoPi,0.10%
TLXOS RPi 4.9.3 (latest),0.06%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
