Operating System,Percentage
Raspberry Pi OS (32-bit),41.56%
Raspberry Pi OS (other),23.86%
Ubuntu,13.87%
RetroPie,5.30%
Bootloader,4.58%
Recalbox,4.42%
LibreELEC,3.27%
Manjaro ARM Linux,2.10%
RISC OS Pi,0.46%
OctoPi,0.43%
ALT,0.12%
TLXOS,0.03%
