Operating System,Percentage
Raspberry Pi OS (32-bit),46.33%
Raspberry Pi OS (other),24.52%
Ubuntu,12.63%
RetroPie,4.96%
Recalbox,4.57%
LibreELEC,3.47%
Misc utility images,2.39%
RISC OS Pi,1.00%
TLXOS,0.12%
