Image,Percentage
Raspberry Pi OS (32-bit),48.51%
Raspberry Pi OS Lite (32-bit),14.54%
Raspberry Pi OS Full (32-bit),10.32%
Ubuntu Desktop 20.10 (RPi 4/400),5.50%
RetroPie 4.7.1 (RPI 4/400),2.48%
Raspberry Pi 4 EEPROM boot recovery,2.36%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.17%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.87%
Ubuntu Server 20.10 (RPi 3/4/400),1.73%
Recalbox 7.1.1-Reloaded (Pi 3),1.46%
LibreELEC (RPi2/RPi3),1.39%
RetroPie 4.7.1 (RPI 2/3),1.38%
LibreELEC (RPi4),1.38%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.87%
RISC OS (5.28),0.85%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.73%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
Ubuntu Core 18 (RPi 3/4),0.59%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.33%
LibreELEC (RPi0/RPi1),0.28%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.3 (latest),0.03%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi 4.9.2 (latest),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
