Operating System,Percentage
Raspberry Pi OS (32-bit),40.90%
Raspberry Pi OS (other),22.57%
Ubuntu,16.60%
RetroPie,4.71%
Recalbox,4.33%
Bootloader,4.29%
LibreELEC,2.70%
Manjaro ARM Linux,1.99%
RISC OS Pi,0.69%
OctoPi,0.45%
Homebridge,0.43%
info-beamer digital signage,0.20%
TLXOS,0.07%
ALT,0.06%
Home Assistant,0.01%
Misc utility images,0.00%
