Operating System,Percentage
Raspberry Pi OS (32-bit),41.43%
Raspberry Pi OS (other),22.97%
Ubuntu,15.90%
RetroPie,4.84%
Bootloader,4.25%
Recalbox,4.24%
LibreELEC,2.72%
Manjaro ARM Linux,2.03%
RISC OS Pi,0.65%
OctoPi,0.47%
Homebridge,0.20%
info-beamer digital signage,0.18%
ALT,0.07%
TLXOS,0.06%
Misc utility images,0.00%
