Operating System,Percentage
Raspberry Pi OS (32-bit),46.31%
Raspberry Pi OS (other),24.79%
Ubuntu,13.16%
RetroPie,4.97%
Recalbox,3.99%
LibreELEC,2.85%
Misc utility images,2.74%
RISC OS Pi,1.06%
TLXOS,0.12%
