Operating System,Percentage
Raspberry Pi OS (32-bit),43.35%
Raspberry Pi OS (other),23.63%
Ubuntu,13.48%
RetroPie,5.35%
Bootloader,4.14%
Recalbox,3.69%
LibreELEC,2.99%
Manjaro ARM Linux,2.17%
RISC OS Pi,0.73%
OctoPi,0.40%
TLXOS,0.06%
Misc utility images,0.00%
