Operating System,Percentage
Raspberry Pi OS (32-bit),45.68%
Raspberry Pi OS (other),25.47%
Ubuntu,12.95%
RetroPie,5.26%
Recalbox,3.82%
LibreELEC,3.34%
Misc utility images,2.39%
RISC OS Pi,1.02%
TLXOS,0.07%
