Operating System,Percentage
Raspberry Pi OS (32-bit),42.89%
Raspberry Pi OS (other),23.99%
Ubuntu,13.77%
RetroPie,4.86%
Bootloader,4.42%
Recalbox,3.79%
LibreELEC,2.90%
Manjaro ARM Linux,2.12%
RISC OS Pi,0.61%
OctoPi,0.49%
ALT,0.10%
TLXOS,0.06%
