Operating System,Percentage
Raspberry Pi OS (32-bit),47.58%
Raspberry Pi OS (other),24.56%
Ubuntu,12.61%
RetroPie,5.06%
Recalbox,3.77%
LibreELEC,3.11%
Misc utility images,2.26%
RISC OS Pi,0.94%
TLXOS,0.11%
