Operating System,Percentage
Raspberry Pi OS (32-bit),42.64%
Raspberry Pi OS (other),23.74%
Ubuntu,14.56%
RetroPie,4.98%
Bootloader,4.17%
Recalbox,3.66%
LibreELEC,2.86%
Manjaro ARM Linux,1.98%
RISC OS Pi,0.61%
OctoPi,0.51%
info-beamer digital signage,0.14%
ALT,0.09%
TLXOS,0.06%
