Operating System,Percentage
Raspberry Pi OS (32-bit),44.08%
Raspberry Pi OS (other),24.07%
Ubuntu,14.13%
RetroPie,4.53%
Bootloader,4.04%
Recalbox,3.17%
LibreELEC,2.64%
Manjaro ARM Linux,2.00%
RISC OS Pi,0.59%
OctoPi,0.55%
TLXOS,0.11%
ALT,0.09%
