Image,Percentage
Raspberry Pi OS (32-bit),41.92%
Raspberry Pi OS Lite (32-bit),14.16%
Raspberry Pi OS Full (32-bit),9.39%
Ubuntu Desktop 20.10 (RPi 4/400),6.32%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.50%
RetroPie 4.7.1 (RPI 4/400),2.44%
SD Card Boot,2.14%
Ubuntu Server 20.10 (RPi 3/4/400),1.98%
USB Boot,1.97%
RetroPie 4.7.1 (RPI 2/3),1.72%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.72%
Recalbox 7.1.1-Reloaded (Pi 3),1.56%
LibreELEC (RPi4),1.38%
LibreELEC (RPi2/RPi3),1.23%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),1.18%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),1.16%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.03%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.64%
RetroPie 4.7.1 (RPI 1/Zero),0.63%
Ubuntu Core 18 (RPi 3/4),0.57%
RISC OS (5.28),0.55%
OctoPi,0.48%
Ubuntu Core 18 (RPi 2/3/4),0.46%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.24%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.24%
info-beamer OS,0.22%
Recalbox 7.1.1-Reloaded (Pi 2),0.22%
Network Boot,0.11%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.07%
ALT Education 9.1 (Raspberry Pi 4/3),0.05%
info-beamer OS (testing),0.04%
TLXOS RPi 4.9.3 (latest),0.03%
OctoPi (mirror),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
