Image,Percentage
Raspberry Pi OS (32-bit),48.22%
Raspberry Pi OS Lite (32-bit),14.12%
Raspberry Pi OS Full (32-bit),10.19%
Ubuntu Desktop 20.10 (RPi 4/400),6.22%
RetroPie 4.7.1 (RPI 4/400),2.45%
Raspberry Pi 4 EEPROM boot recovery,2.22%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.17%
Recalbox 7.1.1-Reloaded (Pi 3),1.87%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.80%
Ubuntu Server 20.10 (RPi 3/4/400),1.63%
RetroPie 4.7.1 (RPI 2/3),1.57%
LibreELEC (RPi4),1.33%
LibreELEC (RPi2/RPi3),1.27%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.98%
RISC OS (5.28),0.96%
RetroPie 4.7.1 (RPI 1/Zero),0.64%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.50%
Ubuntu Core 18 (RPi 3/4),0.48%
Recalbox 7.1.1-Reloaded (Pi 2),0.34%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.32%
LibreELEC (RPi0/RPi1),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.21%
TLXOS RPi 4.9.2 (latest),0.13%
TLXOS RPi IoT 4.8.0 (LTS),0.02%
