Image,Percentage
Raspberry Pi OS (32-bit),46.46%
Raspberry Pi OS Lite (32-bit),14.52%
Raspberry Pi OS Full (32-bit),9.76%
Ubuntu Desktop 20.10 (RPi 4/400),6.11%
RetroPie 4.7.1 (RPI 4/400),2.72%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.67%
Raspberry Pi 4 EEPROM boot recovery,2.62%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.02%
RetroPie 4.7.1 (RPI 2/3),1.89%
LibreELEC (RPi4),1.77%
Ubuntu Server 20.10 (RPi 3/4/400),1.53%
LibreELEC (RPi2/RPi3),1.53%
Recalbox 7.1.1-Reloaded (Pi 3),1.43%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.94%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.84%
RISC OS (5.28),0.82%
RetroPie 4.7.1 (RPI 1/Zero),0.63%
Ubuntu Core 18 (RPi 3/4),0.53%
Ubuntu Core 18 (RPi 2/3/4),0.34%
LibreELEC (RPi0/RPi1),0.31%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.30%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi 4.8.1 (LTS),0.04%
