Image,Percentage
Raspberry Pi OS (32-bit),46.63%
Raspberry Pi OS Lite (32-bit),14.59%
Raspberry Pi OS Full (32-bit),9.88%
Ubuntu Desktop 20.10 (RPi 4/400),5.83%
RetroPie 4.7.1 (RPI 4/400),2.57%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.45%
Raspberry Pi 4 EEPROM boot recovery,2.33%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.99%
Recalbox 7.1.1-Reloaded (Pi 3),1.77%
Ubuntu Server 20.10 (RPi 3/4/400),1.67%
RetroPie 4.7.1 (RPI 2/3),1.58%
LibreELEC (RPi4),1.57%
LibreELEC (RPi2/RPi3),1.44%
RISC OS (5.28),1.01%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.96%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.64%
Ubuntu Core 18 (RPi 3/4),0.56%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.44%
Ubuntu Core 18 (RPi 2/3/4),0.38%
LibreELEC (RPi0/RPi1),0.34%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.25%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
TLXOS RPi 4.9.3 (latest),0.09%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.04%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
TLXOS RPi 4.8.1 (LTS),0.02%
Ubuntu Server 20.04.1 LTS (RPi 3/4),0.00%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.00%
