Image,Percentage
Raspberry Pi OS (32-bit),40.52%
Raspberry Pi OS Lite (32-bit),13.58%
Raspberry Pi OS Full (32-bit),8.84%
Ubuntu Desktop 21.04 (RPi 4/400),7.79%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.62%
Ubuntu Server 21.04 (RPi 3/4/400),2.67%
RetroPie 4.7.1 (RPI 4/400),2.46%
SD Card Boot,2.22%
USB Boot,2.01%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.78%
Recalbox 7.2.1-Reloaded - Pi3,1.71%
RetroPie 4.7.1 (RPI 2/3),1.57%
LibreELEC (RPi4),1.37%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.17%
LibreELEC (RPi2/RPi3),1.05%
Homebridge,0.90%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.89%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.82%
RISC OS (5.28),0.76%
RetroPie 4.7.1 (RPI 1/Zero),0.59%
Ubuntu Core 18 (RPi 3/4),0.56%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.54%
OctoPi,0.44%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.34%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.31%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.23%
Recalbox 7.2.1-Reloaded - Pi2,0.18%
info-beamer OS,0.18%
Network Boot,0.11%
TLXOS RPi 4.10.0 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
TLXOS RPi 4.9.3 (latest),0.02%
info-beamer OS (testing),0.02%
TLXOS RPi 4.8.2 (LTS),0.01%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
OctoPi (mirror),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.2 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.00%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.00%
