Operating System,Percentage
Raspberry Pi OS (32-bit),38.86%
Raspberry Pi OS (other),21.93%
Ubuntu,14.48%
Bootloader,5.57%
OctoPi,4.85%
RetroPie,4.08%
Recalbox,2.65%
Manjaro ARM Linux,1.91%
LibreELEC,1.48%
OSMC,1.38%
Home Assistant,1.07%
Homebridge,0.95%
RISC OS Pi,0.53%
info-beamer digital signage,0.15%
TLXOS,0.06%
ALT,0.05%
