Operating System,Percentage
Raspberry Pi OS (32-bit),47.30%
Raspberry Pi OS (other),24.62%
Ubuntu,11.78%
RetroPie,5.03%
Recalbox,4.65%
LibreELEC,3.25%
Misc utility images,2.24%
RISC OS Pi,1.02%
TLXOS,0.11%
