Operating System,Percentage
Raspberry Pi OS (32-bit),48.88%
Raspberry Pi OS (other),25.77%
Ubuntu,11.41%
RetroPie,4.50%
Recalbox,3.79%
LibreELEC,2.53%
Misc utility images,2.17%
RISC OS Pi,0.80%
TLXOS,0.15%
