Image,Percentage
Raspberry Pi OS (32-bit),47.02%
Raspberry Pi OS Lite (32-bit),14.89%
Raspberry Pi OS Full (32-bit),9.98%
Ubuntu Desktop 20.10 (RPi 4/400),5.60%
RetroPie 4.7.1 (RPI 4/400),2.75%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.24%
Raspberry Pi 4 EEPROM boot recovery,2.17%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.02%
Recalbox 7.1.1-Reloaded (Pi 3),1.83%
Ubuntu Server 20.10 (RPi 3/4/400),1.67%
LibreELEC (RPi4),1.66%
RetroPie 4.7.1 (RPI 2/3),1.60%
LibreELEC (RPi2/RPi3),1.31%
RISC OS (5.28),0.98%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.97%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.69%
Ubuntu Core 18 (RPi 3/4),0.53%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
LibreELEC (RPi0/RPi1),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Recalbox 7.1.1-Reloaded (Pi 2),0.18%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.06%
TLXOS RPi 4.9.2 (latest),0.05%
TLXOS RPi 4.9.3 (latest),0.03%
TLXOS RPi 4.8.0 (LTS),0.01%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.00%
