Operating System,Percentage
Raspberry Pi OS (32-bit),44.52%
Raspberry Pi OS (other),24.06%
Ubuntu,13.34%
RetroPie,5.27%
Recalbox,3.70%
LibreELEC,3.07%
Bootloader,2.49%
Manjaro ARM Linux,1.41%
Misc utility images,1.00%
RISC OS Pi,0.82%
OctoPi,0.22%
TLXOS,0.09%
ALT,0.00%
