Operating System,Percentage
Raspberry Pi OS (32-bit),43.68%
Raspberry Pi OS (other),23.91%
Ubuntu,13.23%
RetroPie,5.25%
Bootloader,4.09%
Recalbox,3.62%
LibreELEC,2.94%
Manjaro ARM Linux,2.13%
RISC OS Pi,0.69%
OctoPi,0.38%
TLXOS,0.06%
Misc utility images,0.00%
