Operating System,Percentage
Raspberry Pi OS (32-bit),38.32%
Raspberry Pi OS (other),23.75%
Ubuntu,14.41%
Bootloader,5.14%
OctoPi,4.66%
RetroPie,3.82%
Recalbox,2.57%
Manjaro ARM Linux,1.89%
LibreELEC,1.42%
OSMC,1.35%
Home Assistant,1.02%
Homebridge,0.88%
RISC OS Pi,0.53%
info-beamer digital signage,0.14%
TLXOS,0.05%
ALT,0.05%
