Operating System,Percentage
Raspberry Pi OS (32-bit),42.89%
Raspberry Pi OS (other),23.74%
Ubuntu,14.78%
Bootloader,4.92%
RetroPie,4.26%
Recalbox,3.42%
LibreELEC,2.63%
Manjaro ARM Linux,2.16%
RISC OS Pi,0.72%
OctoPi,0.39%
TLXOS,0.06%
ALT,0.02%
