Operating System,Percentage
Raspberry Pi OS (32-bit),48.33%
Raspberry Pi OS (other),24.74%
Ubuntu,12.23%
RetroPie,4.88%
Recalbox,3.26%
LibreELEC,2.91%
Misc utility images,2.63%
RISC OS Pi,0.94%
TLXOS,0.09%
