Operating System,Percentage
Raspberry Pi OS (32-bit),46.22%
Raspberry Pi OS (other),24.89%
Ubuntu,12.72%
RetroPie,5.39%
Recalbox,4.03%
LibreELEC,3.29%
Misc utility images,2.41%
RISC OS Pi,0.98%
TLXOS,0.08%
