Operating System,Percentage
Raspberry Pi OS (32-bit),42.93%
Raspberry Pi OS (other),24.05%
Ubuntu,13.62%
RetroPie,5.03%
Bootloader,4.32%
Recalbox,3.76%
LibreELEC,2.93%
Manjaro ARM Linux,2.09%
RISC OS Pi,0.65%
OctoPi,0.46%
ALT,0.09%
TLXOS,0.06%
