Image,Percentage
Raspberry Pi OS (32-bit),40.32%
Raspberry Pi OS Lite (32-bit),13.53%
Raspberry Pi OS Full (32-bit),8.84%
Ubuntu Desktop 21.04 (RPi 4/400),7.90%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.50%
Ubuntu Server 21.04 (RPi 3/4/400),2.77%
RetroPie 4.7.1 (RPI 4/400),2.39%
SD Card Boot,2.16%
USB Boot,2.00%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.71%
Recalbox 7.2.1-Reloaded - Pi3,1.61%
RetroPie 4.7.1 (RPI 2/3),1.61%
LibreELEC (RPi4),1.32%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.19%
LibreELEC (RPi2/RPi3),1.09%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.90%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.82%
RISC OS (5.28),0.79%
Homebridge,0.79%
RetroPie 4.7.1 (RPI 1/Zero),0.59%
Ubuntu Core 18 (RPi 3/4),0.54%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.49%
OctoPi,0.45%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.30%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.30%
LibreELEC (RPi0/RPi1),0.29%
Home Assistant OS 5.13 (RPi 4/400),0.27%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.24%
Home Assistant OS 5.13 (RPi 3),0.22%
Recalbox 7.2.1-Reloaded - Pi2,0.17%
info-beamer OS,0.16%
Network Boot,0.11%
TLXOS RPi 4.10.0 (latest),0.10%
TLXOS RPi 4.8.2 (LTS),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
TLXOS RPi IoT 4.8.2 (LTS),0.02%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.02%
info-beamer OS (testing),0.01%
