Image,Percentage
Raspberry Pi OS (32-bit),43.48%
Raspberry Pi OS Lite (32-bit),14.78%
Raspberry Pi OS Full (32-bit),9.53%
Ubuntu Desktop 20.10 (RPi 4/400),6.00%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.43%
RetroPie 4.7.1 (RPI 4/400),2.56%
Ubuntu Server 20.10 (RPi 3/4/400),2.20%
USB Boot,2.00%
SD Card Boot,1.74%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.58%
RetroPie 4.7.1 (RPI 2/3),1.49%
LibreELEC (RPi4),1.42%
Recalbox 7.1.1-Reloaded (Pi 3),1.24%
LibreELEC (RPi2/RPi3),1.22%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.91%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.85%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.79%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
RISC OS (5.28),0.61%
Ubuntu Core 18 (RPi 3/4),0.59%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.58%
OctoPi,0.39%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.29%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.27%
LibreELEC (RPi0/RPi1),0.24%
Recalbox 7.1.1-Reloaded (Pi 2),0.23%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.21%
Network Boot,0.15%
TLXOS RPi 4.9.3 (latest),0.07%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.06%
Simply Linux 9.0 (Raspberry Pi 4),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.03%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
