Operating System,Percentage
Raspberry Pi OS (32-bit),43.21%
Raspberry Pi OS (other),23.90%
Ubuntu,13.77%
RetroPie,4.99%
Bootloader,4.28%
Recalbox,3.56%
LibreELEC,2.88%
Manjaro ARM Linux,2.15%
RISC OS Pi,0.69%
OctoPi,0.45%
ALT,0.06%
TLXOS,0.06%
Misc utility images,0.00%
