Operating System,Percentage
Raspberry Pi OS (32-bit),46.30%
Raspberry Pi OS (other),24.83%
Ubuntu,12.68%
RetroPie,5.06%
Recalbox,4.33%
LibreELEC,3.37%
Misc utility images,2.35%
RISC OS Pi,0.97%
TLXOS,0.12%
