Operating System,Percentage
Raspberry Pi OS (32-bit),42.69%
Raspberry Pi OS (other),23.73%
Ubuntu,14.29%
RetroPie,4.93%
Bootloader,4.28%
Recalbox,3.81%
LibreELEC,2.83%
Manjaro ARM Linux,2.09%
RISC OS Pi,0.65%
OctoPi,0.48%
ALT,0.09%
info-beamer digital signage,0.06%
TLXOS,0.06%
Misc utility images,0.00%
