Operating System,Percentage
Raspberry Pi OS (32-bit),40.77%
Raspberry Pi OS (other),22.71%
Ubuntu,16.23%
RetroPie,4.89%
Bootloader,4.38%
Recalbox,4.34%
LibreELEC,2.72%
Manjaro ARM Linux,2.08%
RISC OS Pi,0.66%
OctoPi,0.45%
Homebridge,0.43%
info-beamer digital signage,0.20%
ALT,0.07%
TLXOS,0.06%
