Operating System,Percentage
Raspberry Pi OS (32-bit),43.57%
Raspberry Pi OS (other),24.50%
Ubuntu,12.23%
RetroPie,6.82%
Recalbox,4.99%
LibreELEC,3.80%
Misc utility images,2.66%
RISC OS Pi,1.29%
TLXOS,0.13%
