Operating System,Percentage
Raspberry Pi OS (32-bit),43.62%
Raspberry Pi OS (other),23.89%
Ubuntu,13.57%
RetroPie,4.96%
Bootloader,4.09%
Recalbox,3.53%
LibreELEC,2.88%
Manjaro ARM Linux,2.16%
RISC OS Pi,0.70%
OctoPi,0.40%
Misc utility images,0.08%
TLXOS,0.07%
ALT,0.05%
