Image,Percentage
Raspberry Pi OS (32-bit),48.62%
Raspberry Pi OS Lite (32-bit),14.81%
Raspberry Pi OS Full (32-bit),10.37%
Ubuntu Desktop 20.10 (RPi 4/400),5.53%
RetroPie 4.7.1 (RPI 4/400),2.32%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.23%
Raspberry Pi 4 EEPROM boot recovery,2.13%
Recalbox 7.1.1-Reloaded (Pi 3),1.79%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.77%
Ubuntu Server 20.10 (RPi 3/4/400),1.59%
LibreELEC (RPi4),1.47%
RetroPie 4.7.1 (RPI 2/3),1.33%
LibreELEC (RPi2/RPi3),1.23%
RISC OS (5.28),0.99%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.89%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.58%
Ubuntu Core 18 (RPi 3/4),0.48%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.35%
LibreELEC (RPi0/RPi1),0.29%
Ubuntu Core 18 (RPi 2/3/4),0.27%
Recalbox 7.1.1-Reloaded (Pi 2),0.18%
TLXOS RPi 4.9.2 (latest),0.09%
TLXOS RPi 4.8.0 (LTS),0.01%
