Operating System,Percentage
Raspberry Pi OS (32-bit),46.09%
Raspberry Pi OS (other),24.62%
Ubuntu,12.79%
RetroPie,5.30%
Recalbox,4.10%
LibreELEC,3.29%
Misc utility images,2.30%
RISC OS Pi,0.96%
Bootloader,0.23%
Manjaro ARM Linux,0.22%
TLXOS,0.11%
