Operating System,Percentage
Raspberry Pi OS (32-bit),44.90%
Raspberry Pi OS (other),24.22%
Ubuntu,13.04%
RetroPie,5.40%
Recalbox,3.84%
LibreELEC,3.16%
Bootloader,1.88%
Misc utility images,1.35%
Manjaro ARM Linux,1.11%
RISC OS Pi,0.86%
OctoPi,0.15%
TLXOS,0.08%
