Image,Percentage
Raspberry Pi OS (32-bit),47.72%
Raspberry Pi OS Lite (32-bit),13.51%
Raspberry Pi OS Full (32-bit),10.17%
Ubuntu Desktop 20.10 (RPi 4/400),5.97%
RetroPie 4.7.1 (RPI 4/400),2.77%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.30%
Raspberry Pi 4 EEPROM boot recovery,2.26%
Ubuntu Server 20.04.1 LTS (RPi 3/4),1.97%
Recalbox 7.1.1-Reloaded (Pi 3),1.91%
Ubuntu Server 20.10 (RPi 3/4/400),1.73%
RetroPie 4.7.1 (RPI 2/3),1.63%
LibreELEC (RPi4),1.59%
LibreELEC (RPi2/RPi3),1.48%
RISC OS (5.28),1.12%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.95%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.66%
RetroPie 4.7.1 (RPI 1/Zero),0.51%
Ubuntu Core 18 (RPi 3/4),0.44%
Ubuntu Core 18 (RPi 2/3/4),0.38%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.30%
LibreELEC (RPi0/RPi1),0.26%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.2 (latest),0.14%
TLXOS RPi IoT 4.8.0 (LTS),0.03%
TLXOS RPi 4.8.0 (LTS),0.02%
