Operating System,Percentage
Raspberry Pi OS (32-bit),40.29%
Raspberry Pi OS (other),23.60%
Ubuntu,14.37%
RetroPie,5.40%
Bootloader,5.00%
Recalbox,4.27%
LibreELEC,3.35%
Manjaro ARM Linux,2.15%
RISC OS Pi,0.72%
OctoPi,0.61%
info-beamer digital signage,0.19%
TLXOS,0.04%
ALT,0.02%
