Operating System,Percentage
Raspberry Pi OS (32-bit),38.47%
Raspberry Pi OS (other),22.51%
Ubuntu,14.49%
Bootloader,5.27%
OctoPi,4.88%
RetroPie,4.05%
Recalbox,2.67%
Manjaro ARM Linux,1.99%
LibreELEC,1.50%
OSMC,1.39%
Home Assistant,1.05%
Homebridge,0.89%
RISC OS Pi,0.59%
info-beamer digital signage,0.15%
TLXOS,0.05%
ALT,0.05%
