Operating System,Percentage
Raspberry Pi OS (32-bit),43.61%
Raspberry Pi OS (other),23.90%
Ubuntu,13.52%
RetroPie,5.01%
Bootloader,3.98%
Recalbox,3.58%
LibreELEC,2.93%
Manjaro ARM Linux,2.11%
RISC OS Pi,0.71%
OctoPi,0.38%
Misc utility images,0.16%
TLXOS,0.07%
ALT,0.05%
