Operating System,Percentage
Raspberry Pi OS (32-bit),44.42%
Raspberry Pi OS (other),24.01%
Ubuntu,13.30%
RetroPie,5.26%
Recalbox,3.67%
LibreELEC,3.05%
Bootloader,2.76%
Manjaro ARM Linux,1.55%
Misc utility images,0.84%
RISC OS Pi,0.81%
OctoPi,0.25%
TLXOS,0.08%
ALT,0.01%
