Operating System,Percentage
Raspberry Pi OS (32-bit),40.60%
Raspberry Pi OS (other),22.54%
Ubuntu,16.71%
RetroPie,4.71%
Bootloader,4.30%
Recalbox,4.26%
LibreELEC,2.71%
Manjaro ARM Linux,1.97%
RISC OS Pi,0.73%
Homebridge,0.54%
OctoPi,0.45%
info-beamer digital signage,0.20%
Home Assistant,0.13%
TLXOS,0.09%
ALT,0.07%
