Image,Percentage
Raspberry Pi OS (32-bit),38.56%
Raspberry Pi OS Lite (32-bit),14.90%
Raspberry Pi OS Full (32-bit),8.36%
Ubuntu Desktop 21.04 (RPi 4/400),6.14%
OctoPi,4.56%
Ubuntu Server 20.04.3 LTS (RPi 3/4/400),3.42%
USB Boot,3.05%
Ubuntu Server 21.04 (RPi 3/4/400),2.37%
RetroPie 4.7.1 (RPI 4/400),2.00%
SD Card Boot,1.92%
LibreELEC (RPi4),1.41%
RetroPie 4.7.1 (RPI 2/3),1.32%
Recalbox 7.2.2-Reloaded - Pi3,1.15%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.14%
Recalbox 7.2.2-Reloaded - Pi4 / Pi400,1.11%
Homebridge,0.89%
Ubuntu Server 20.04.3 LTS (RPi 2/3/4/400),0.87%
Manjaro ARM KDE Plasma 21.08 (RPi 3/3+/4/400),0.73%
Home Assistant OS 6.2 (RPi 4/400),0.68%
OSMC (Pi 2/3),0.67%
RISC OS (5.28),0.57%
Manjaro ARM XFCE 21.08 (RPi 3/3+/4/400),0.50%
RetroPie 4.7.1 (RPI 1/Zero),0.50%
OSMC (Pi 4 / Pi 400),0.50%
Ubuntu Core 20 (RPi 3/4),0.43%
Home Assistant OS 6.2 (RPi 3),0.36%
Ubuntu Core 20 (RPi 2/3/4),0.24%
Manjaro ARM MATE 21.08 (RPi 3/3+/4/400),0.22%
Recalbox 7.2.2-Reloaded - Pi0 / Pi1 / GPiCase,0.20%
Manjaro ARM Gnome 21.08 (RPi 3/3+/4/400),0.20%
Manjaro ARM Minimal 21.08 (RPi 3/3+/4/400),0.18%
OSMC (Pi 0/1),0.16%
Network Boot,0.16%
info-beamer OS,0.12%
Recalbox 7.2.2-Reloaded - Pi2,0.10%
Manjaro ARM Sway 21.08 (RPi 3/3+/4/400),0.10%
OctoPi (mirror),0.10%
TLXOS RPi 4.10.0 (latest),0.05%
ALT Workstation 9.2 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
ALT Education 9.2 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.8.2 (LTS),0.01%
TLXOS RPi IoT 4.8.2 (LTS),0.00%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.00%
